Stimmen haben erhalten:,,,,,,,,
10.01,Eggs,Alba,1993,collégienne / Gymnasiastin,,Fribourg/Freiburg,565,
10.02,Fasel,Blaise,1991,"étudiant en histoire, président JDC FR / Student in Geschichte, Präsident JCVP FR",,Fribourg/Freiburg,674,
10.03,Schenevey-Haghparast,Hasti,1984,économiste MBA / Ökonomin MBA,,Fribourg/Freiburg,275,
10.04,Portmann,Pierre,1989,avocat stagiaire / Anwaltspratikant,,Villars-sur-Glâne,400,
10.05,Sallin,Aude,1986,économiste HES / Ökonomin FH,,Marly,815,
10.06,Thebti,Khalil,1989,"étudiant en gestion d'entreprise, vice-président JDC CH / Student in Betriebswirtschaftslehre, Vizepräsident JCVP CH",,Marly,398,
10.07,Vultier,Thibaut,1990,étudiant en histoire / Student in Geschichte,,Fribourg/Freiburg,332,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,11,Junge CVP Südfreiburg,,,,,
Kürzel,,JCVP SF,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,4'927,,,,,
Zusatzstimmen,,,202,,,,,
Parteistimmen,,,5'129,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
11.01,Berthoud,Charlotte,1989,juriste / Juristin,,Châtel-Saint-Denis,729,
11.02,Genoud,Andy,1988,"bibliothécaire, conseiller général / Bibliothekar, Generalrat",,Châtel-Saint-Denis,547,
11.03,Lüchinger,Therese,1987,"juriste, conseillère générale / Juristin, Generalrätin",,Bulle,983,
11.04,Nedeljkovic,Vesna,1989,étudiante Haute Ecole pédagogique / Studentin Pädagogische Hochschule,,Romont,539,
11.05,Philipona,Alain,1985,économiste d'entreprise / Betriebsökonom,,Crésuz,594,
11.06,Romanens,Jocelyn,1991,maître fromager / Käsermeister,,Marsens,996,
11.07,Schläpfer,Hannah,1993,étudiante en sciences politiques / Studentin in Politikwissenschaften,,Chapelle (Glâne),539,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,12,Junge CVP Deutschfreiburg,,,,,
Kürzel,,JCVPDF,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,4'428,,,,,
Zusatzstimmen,,,189,,,,,
Parteistimmen,,,4'617,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
12.01,Tschümperlin,Dominic,1990,"Jurist, Vizepräsident JCVP FR / juriste, vice-président JDC FR",,Gurmels,905,
12.02,Michellod-Fiedler,Eliane,1986,Drogistin / droguiste,,Genève,338,
12.03,Lüthi,Monika,1987,Credit Risk Managerin / gestionnaire de risque de crédit,,Bern,372,
12.04,Hayoz,Olivier,1987,"Abteilungsleiter Logistik, Unternehmer / chef de service logistique, entrepreneur",,Düdingen,593,
12.05,Dietrich,Basil,1993,"Augenoptiker, Vorstand CVP Düdingen / opticien, comité PDC Guin",,Düdingen,669,
12.06,Bielmann,Simon,1994,"Student in Rechtswissenschaften, Vorstand CVP Sense / étudiant en droit, comité PDC Singine",,Rechthalten,722,
12.07,Altermatt,Bernhard,1977,"Historiker, Generalrat / historien, conseiller général",,Fribourg/Freiburg,829,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,13,Junge CVP Saane-Land,,,,,
Kürzel,,JCVPSL,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,3'874,,,,,
Zusatzstimmen,,,217,,,,,
Parteistimmen,,,4'091,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
13.01,Anatrà,Constantin,1988,"juriste, étudiant en économie / Jurist, Student in Wirtschaft",,Le Mouret,494,
